 Index,     Direction,      Status/Code/Error Count,    Format/Type,   ID,    DLC,            Data,                 Time Mark
  0       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:00:12:444,
  1       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:00:12:446,
  2       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:00:12:448,
  3       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:00:12:450,
  4       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:00:12:452,
  5       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:00:12:454,
  6       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:00:12:456,
  7       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:00:12:458,
  8       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:00:12:460,
  9       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:00:12:462,
  10      ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:00:12:464,
  11      ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:00:12:466,
  12      ,Receive ,                    ,Ext / Data,0x1610FF11,0   ,                                ,00:00:12:475,
  13      ,Receive ,                    ,Ext / Data,0xAF81111,2   ,00  00                          ,00:00:12:476,
  14      ,Receive ,                    ,Ext / Data,0x1610FF12,0   ,                                ,00:00:12:476,
  15      ,Receive ,                    ,Ext / Data,0x12F87811,1   ,00                              ,00:00:12:477,
  16      ,Receive ,                    ,Ext / Data,0x12F81C12,1   ,00                              ,00:00:12:478,
  17      ,Receive ,                    ,Ext / Data,0x1610FF10,0   ,                                ,00:00:12:478,
  18      ,Receive ,                    ,Ext / Data,0x1610FF31,0   ,                                ,00:00:12:479,
  19      ,Receive ,                    ,Ext / Data,0x12F81010,4   ,20  00  00  00                  ,00:00:12:480,
  20      ,Receive ,                    ,Ext / Data,0x12F84112,1   ,00                              ,00:00:12:480,
  21      ,Receive ,                    ,Ext / Data,0xAF87010,2   ,00  00                          ,00:00:12:481,
  22      ,Receive ,                    ,Ext / Data,0x12F84212,1   ,00                              ,00:00:12:482,
  23      ,Receive ,                    ,Ext / Data,0xAF87110,3   ,00  00  00                      ,00:00:12:482,
  24      ,Receive ,                    ,Ext / Data,0x12F84312,1   ,00                              ,00:00:12:483,
  25      ,Receive ,                    ,Ext / Data,0xEF81510,1   ,02                              ,00:00:12:484,
  26      ,Receive ,                    ,Ext / Data,0x12F84712,1   ,00                              ,00:00:12:484,
  27      ,Receive ,                    ,Ext / Data,0xEF82010,1   ,00                              ,00:00:12:485,
  28      ,Receive ,                    ,Ext / Data,0x12F84812,1   ,00                              ,00:00:12:486,
  29      ,Receive ,                    ,Ext / Data,0xEF87310,4   ,00  AA  00  00                  ,00:00:12:486,
  30      ,Receive ,                    ,Ext / Data,0x1610FF11,0   ,                                ,00:00:12:487,
  31      ,Receive ,                    ,Ext / Data,0x12F81D10,5   ,00  00  00  00  01              ,00:00:12:488,
  32      ,Receive ,                    ,Ext / Data,0x1610FF34,0   ,                                ,00:00:12:488,
  33      ,Receive ,                    ,Ext / Data,0x12F81E10,5   ,00  00  00  00  01              ,00:00:12:489,
  34      ,Receive ,                    ,Ext / Data,0x1610FF57,0   ,                                ,00:00:12:490,
  35      ,Receive ,                    ,Ext / Data,0x12F83010,1   ,00                              ,00:00:12:491,
  36      ,Receive ,                    ,Ext / Data,0x1610FF96,0   ,                                ,00:00:12:491,
  37      ,Receive ,                    ,Ext / Data,0x12F84010,1   ,00                              ,00:00:12:492,
  38      ,Receive ,                    ,Ext / Data,0x16F83B31,1   ,00                              ,00:00:12:492,
  39      ,Receive ,                    ,Ext / Data,0x16F83D33,1   ,00                              ,00:00:12:493,
  40      ,Receive ,                    ,Ext / Data,0xEF83633,2   ,00  00                          ,00:00:12:494,
  41      ,Receive ,                    ,Ext / Data,0x1610FF33,0   ,                                ,00:00:12:494,
  42      ,Receive ,                    ,Ext / Data,0xEF83F31,2   ,80  00                          ,00:00:12:497,
  43      ,Receive ,                    ,Ext / Data,0x1610FF50,0   ,                                ,00:00:12:508,
  44      ,Receive ,                    ,Ext / Data,0x16F97550,8   ,FF  E0  00  00  00  00  00  00  ,00:00:12:519,
  45      ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:00:12:520,
  46      ,Receive ,                    ,Ext / Data,0x12F85150,5   ,00  00  02  00  40              ,00:00:12:521,
  47      ,Receive ,                    ,Ext / Data,0x12F85450,2   ,00  16                          ,00:00:12:521,
  48      ,Receive ,                    ,Ext / Data,0x12F85C50,1   ,00                              ,00:00:12:522,
  49      ,Receive ,                    ,Ext / Data,0x16F86250,8   ,0F  FF  FF  FF  FF  FF  FF  00  ,00:00:12:523,
  50      ,Receive ,                    ,Ext / Data,0x16F86C50,8   ,02  6E  78  3C  20  C7  D9  00  ,00:00:12:524,
  51      ,Receive ,                    ,Ext / Data,0x16F86D50,8   ,0B  51  74  14  FF  E0  00  00  ,00:00:12:525,
  52      ,Receive ,                    ,Ext / Data,0x12F85250,4   ,FE  00  B7  02                  ,00:00:12:526,
  53      ,Receive ,                    ,Ext / Data,0x12F85450,2   ,16  36                          ,00:00:12:528,
  54      ,Receive ,                    ,Ext / Data,0xEF81496,1   ,00                              ,00:00:12:599,
  55      ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:00:12:617,
  56      ,Receive ,                    ,Ext / Data,0x12F83496,1   ,20                              ,00:00:12:696,
  57      ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:00:12:716,
  58      ,Receive ,                    ,Ext / Data,0x16F83D33,1   ,00                              ,00:00:12:757,
  59      ,Receive ,                    ,Ext / Data,0x12F81010,4   ,20  00  00  00                  ,00:00:12:771,
  60      ,Receive ,                    ,Ext / Data,0xAF81111,2   ,00  00                          ,00:00:12:774,
  61      ,Receive ,                    ,Ext / Data,0x12F81C12,1   ,00                              ,00:00:12:775,
  62      ,Receive ,                    ,Ext / Data,0x12F87811,1   ,00                              ,00:00:12:775,
  63      ,Receive ,                    ,Ext / Data,0x12F84112,1   ,00                              ,00:00:12:776,
  64      ,Receive ,                    ,Ext / Data,0x12F84212,1   ,00                              ,00:00:12:777,
