 Index,     Direction,      Status/Code/Error Count,    Format/Type,   ID,    DLC,            Data,                 Time Mark
  0       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:22:290,
  1       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:22:292,
  2       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:22:294,
  3       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:22:296,
  4       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:22:298,
  5       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:22:300,
  6       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:22:302,
  7       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:22:304,
  8       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:22:306,
  9       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:22:308,
  10      ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:22:310,
  11      ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:22:312,
  12      ,Receive ,                    ,Ext / Data,0x1610FF57,0   ,                                ,00:02:22:320,
  13      ,Receive ,                    ,Ext / Data,0x1610FF33,0   ,                                ,00:02:22:321,
  14      ,Receive ,                    ,Ext / Data,0x1610FF11,0   ,                                ,00:02:22:321,
  15      ,Receive ,                    ,Ext / Data,0x1610FF34,0   ,                                ,00:02:22:322,
  16      ,Receive ,                    ,Ext / Data,0xAF81111,2   ,00  00                          ,00:02:22:323,
  17      ,Receive ,                    ,Ext / Data,0x1610FF12,0   ,                                ,00:02:22:323,
  18      ,Receive ,                    ,Ext / Data,0x12F87811,1   ,00                              ,00:02:22:324,
  19      ,Receive ,                    ,Ext / Data,0x12F81C12,1   ,00                              ,00:02:22:324,
  20      ,Receive ,                    ,Ext / Data,0x1610FF10,0   ,                                ,00:02:22:325,
  21      ,Receive ,                    ,Ext / Data,0x1610FF31,0   ,                                ,00:02:22:326,
  22      ,Receive ,                    ,Ext / Data,0x12F81010,4   ,20  00  80  00                  ,00:02:22:326,
  23      ,Receive ,                    ,Ext / Data,0x12F84112,1   ,80                              ,00:02:22:327,
  24      ,Receive ,                    ,Ext / Data,0xAF87010,2   ,00  00                          ,00:02:22:328,
  25      ,Receive ,                    ,Ext / Data,0x12F84212,1   ,00                              ,00:02:22:328,
  26      ,Receive ,                    ,Ext / Data,0xAF87110,3   ,00  00  00                      ,00:02:22:329,
  27      ,Receive ,                    ,Ext / Data,0x1610FF50,0   ,                                ,00:02:22:330,
  28      ,Receive ,                    ,Ext / Data,0xEF81510,1   ,02                              ,00:02:22:330,
  29      ,Receive ,                    ,Ext / Data,0x12F84312,1   ,00                              ,00:02:22:331,
  30      ,Receive ,                    ,Ext / Data,0xEF82010,1   ,00                              ,00:02:22:332,
  31      ,Receive ,                    ,Ext / Data,0x12F84712,1   ,00                              ,00:02:22:332,
  32      ,Receive ,                    ,Ext / Data,0xEF87310,4   ,00  A7  00  00                  ,00:02:22:333,
  33      ,Receive ,                    ,Ext / Data,0x12F84812,1   ,00                              ,00:02:22:334,
  34      ,Receive ,                    ,Ext / Data,0x12F81D10,5   ,00  00  00  00  01              ,00:02:22:335,
  35      ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:02:22:336,
  36      ,Receive ,                    ,Ext / Data,0x12F81E10,5   ,00  00  00  00  01              ,00:02:22:337,
  37      ,Receive ,                    ,Ext / Data,0x12F85150,5   ,00  00  02  00  40              ,00:02:22:337,
  38      ,Receive ,                    ,Ext / Data,0x12F83010,1   ,00                              ,00:02:22:338,
  39      ,Receive ,                    ,Ext / Data,0x12F85450,2   ,16  56                          ,00:02:22:339,
  40      ,Receive ,                    ,Ext / Data,0x12F84010,1   ,00                              ,00:02:22:339,
  41      ,Receive ,                    ,Ext / Data,0x12F85C50,1   ,00                              ,00:02:22:340,
  42      ,Receive ,                    ,Ext / Data,0x1610FF96,0   ,                                ,00:02:22:341,
  43      ,Receive ,                    ,Ext / Data,0x16F83B31,1   ,00                              ,00:02:22:341,
  44      ,Receive ,                    ,Ext / Data,0x16F86250,8   ,0F  FF  FF  FF  FF  FF  FF  00  ,00:02:22:342,
  45      ,Receive ,                    ,Ext / Data,0xEF83F31,2   ,80  00                          ,00:02:22:343,
  46      ,Receive ,                    ,Ext / Data,0x16F86C50,8   ,02  6F  CA  3C  CA  C7  D9  00  ,00:02:22:344,
  47      ,Receive ,                    ,Ext / Data,0x16F97550,8   ,FF  E0  00  00  00  00  00  00  ,00:02:22:345,
  48      ,Receive ,                    ,Ext / Data,0x16F86D50,8   ,0B  51  72  14  FF  E0  00  00  ,00:02:22:346,
  49      ,Receive ,                    ,Ext / Data,0x12F85250,4   ,FE  00  B7  1D                  ,00:02:22:347,
  50      ,Receive ,                    ,Ext / Data,0x16F83D33,1   ,00                              ,00:02:22:372,
  51      ,Receive ,                    ,Ext / Data,0xEF81496,1   ,00                              ,00:02:22:382,
  52      ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:02:22:435,
  53      ,Receive ,                    ,Ext / Data,0xEF83633,2   ,00  00                          ,00:02:22:454,
  54      ,Receive ,                    ,Ext / Data,0x12F83496,1   ,20                              ,00:02:22:455,
  55      ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:02:22:534,
  56      ,Receive ,                    ,Ext / Data,0x12F81010,4   ,20  00  80  00                  ,00:02:22:618,
  57      ,Receive ,                    ,Ext / Data,0xAF81111,2   ,00  00                          ,00:02:22:620,
  58      ,Receive ,                    ,Ext / Data,0x12F87811,1   ,00                              ,00:02:22:621,
  59      ,Receive ,                    ,Ext / Data,0x12F81C12,1   ,00                              ,00:02:22:621,
  60      ,Receive ,                    ,Ext / Data,0x12F85150,5   ,00  00  02  00  40              ,00:02:22:623,
  61      ,Receive ,                    ,Ext / Data,0x12F84112,1   ,80                              ,00:02:22:624,
  62      ,Receive ,                    ,Ext / Data,0x12F85C50,1   ,00                              ,00:02:22:624,
  63      ,Receive ,                    ,Ext / Data,0x12F85450,2   ,16  56                          ,00:02:22:625,
  64      ,Receive ,                    ,Ext / Data,0x12F84212,1   ,00                              ,00:02:22:626,
  65      ,Receive ,                    ,Ext / Data,0x16F86250,8   ,0F  FF  FF  FF  FF  FF  FF  00  ,00:02:22:627,
  66      ,Receive ,                    ,Ext / Data,0x12F84312,1   ,00                              ,00:02:22:627,
  67      ,Receive ,                    ,Ext / Data,0xAF87010,2   ,00  00                          ,00:02:22:628,
  68      ,Receive ,                    ,Ext / Data,0x16F86D50,8   ,0B  51  72  14  FF  E0  00  00  ,00:02:22:629,
  69      ,Receive ,                    ,Ext / Data,0xAF87110,3   ,00  00  00                      ,00:02:22:630,
  70      ,Receive ,                    ,Ext / Data,0x12F84712,1   ,00                              ,00:02:22:631,
  71      ,Receive ,                    ,Ext / Data,0xEF81510,1   ,02                              ,00:02:22:631,
  72      ,Receive ,                    ,Ext / Data,0xEF82010,1   ,00                              ,00:02:22:632,
  73      ,Receive ,                    ,Ext / Data,0x12F84812,1   ,00                              ,00:02:22:633,
  74      ,Receive ,                    ,Ext / Data,0xEF87310,4   ,00  A7  00  00                  ,00:02:22:633,
  75      ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:02:22:634,
  76      ,Receive ,                    ,Ext / Data,0x12F81D10,5   ,00  00  00  00  01              ,00:02:22:635,
  77      ,Receive ,                    ,Ext / Data,0x12F81E10,5   ,00  00  00  00  01              ,00:02:22:636,
  78      ,Receive ,                    ,Ext / Data,0x12F83010,1   ,00                              ,00:02:22:637,
  79      ,Receive ,                    ,Ext / Data,0x12F84010,1   ,00                              ,00:02:22:638,
  80      ,Receive ,                    ,Ext / Data,0x16F83B31,1   ,00                              ,00:02:22:640,
  81      ,Receive ,                    ,Ext / Data,0x1610FF11,0   ,                                ,00:02:22:640,
  82      ,Receive ,                    ,Ext / Data,0x16F97550,8   ,FF  E0  00  00  00  00  00  00  ,00:02:22:643,
  83      ,Receive ,                    ,Ext / Data,0x16F86C50,8   ,02  6F  CA  3C  CA  C7  D9  00  ,00:02:22:644,
  84      ,Receive ,                    ,Ext / Data,0xEF83F31,2   ,80  00                          ,00:02:22:645,
  85      ,Receive ,                    ,Ext / Data,0x16F83D33,1   ,00                              ,00:02:22:670,
  86      ,Receive ,                    ,Ext / Data,0xEF81496,1   ,00                              ,00:02:22:681,
  87      ,Receive ,                    ,Ext / Data,0x1610FF96,0   ,                                ,00:02:22:699,
  88      ,Receive ,                    ,Ext / Data,0x1610FF55,0   ,                                ,00:02:22:700,
  89      ,Receive ,                    ,Ext / Data,0x12F85150,5   ,00  01  23  00  40              ,00:02:22:722,
  90      ,Receive ,                    ,Ext / Data,0x1610FF10,0   ,                                ,00:02:22:723,
  91      ,Receive ,                    ,Ext / Data,0x1610FF31,0   ,                                ,00:02:22:724,
  92      ,Receive ,                    ,Ext / Data,0x1610FF50,0   ,                                ,00:02:22:724,
  93      ,Receive ,                    ,Ext / Data,0xAF87110,3   ,00  FE  00                      ,00:02:22:727,
  94      ,Receive ,                    ,Ext / Data,0xEF87310,4   ,20  A7  A9  40                  ,00:02:22:727,
  95      ,Receive ,                    ,Ext / Data,0x12F81010,4   ,28  00  80  00                  ,00:02:22:728,
  96      ,Receive ,                    ,Ext / Data,0x1610FF33,0   ,                                ,00:02:22:729,
  97      ,Receive ,                    ,Ext / Data,0x1610FF34,0   ,                                ,00:02:22:729,
  98      ,Receive ,                    ,Ext / Data,0x16F83B31,1   ,80                              ,00:02:22:730,
  99      ,Receive ,                    ,Ext / Data,0x1610FF12,0   ,                                ,00:02:22:731,
  100     ,Receive ,                    ,Ext / Data,0x16F83E34,1   ,80                              ,00:02:22:732,
  101     ,Receive ,                    ,Ext / Data,0x12F85450,2   ,16  36                          ,00:02:22:732,
  102     ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:02:22:733,
  103     ,Receive ,                    ,Ext / Data,0x16F83D33,1   ,80                              ,00:02:22:734,
  104     ,Receive ,                    ,Ext / Data,0xEF83633,2   ,00  00                          ,00:02:22:751,
  105     ,Receive ,                    ,Ext / Data,0x12F83496,1   ,20                              ,00:02:22:754,
  106     ,Receive ,                    ,Ext / Data,0x12F82296,1   ,80                              ,00:02:22:817,
  107     ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:02:22:831,
  108     ,Receive ,                    ,Ext / Data,0x1610FF51,0   ,                                ,00:02:22:837,
  109     ,Receive ,                    ,Ext / Data,0x12EAFF51,2   ,F8  52                          ,00:02:22:838,
  110     ,Receive ,                    ,Ext / Data,0x12F85250,4   ,FE  00  B7  1D                  ,00:02:22:839,
  111     ,Receive ,                    ,Ext / Data,0x12EAFF51,2   ,F8  54                          ,00:02:22:840,
  112     ,Receive ,                    ,Ext / Data,0x12EAFF51,2   ,F8  B0                          ,00:02:22:841,
  113     ,Receive ,                    ,Ext / Data,0x12F85351,8   ,00  01  00  00  00  00  37  00  ,00:02:22:842,
  114     ,Receive ,                    ,Ext / Data,0xEF95251,8   ,00  00  00  00  00  00  00  00  ,00:02:22:843,
  115     ,Receive ,                    ,Ext / Data,0x12F8B0A2,1   ,00                              ,00:02:22:846,
  116     ,Receive ,                    ,Ext / Data,0x12F85450,2   ,16  36                          ,00:02:22:849,
  117     ,Receive ,                    ,Ext / Data,0x12F85150,5   ,41  41  23  00  40              ,00:02:22:851,
  118     ,Receive ,                    ,Ext / Data,0xAF81111,2   ,00  00                          ,00:02:22:917,
  119     ,Receive ,                    ,Ext / Data,0x12F87811,1   ,00                              ,00:02:22:918,
  120     ,Receive ,                    ,Ext / Data,0x12F81C12,1   ,00                              ,00:02:22:918,
  121     ,Receive ,                    ,Ext / Data,0x12F84112,1   ,80                              ,00:02:22:919,
  122     ,Receive ,                    ,Ext / Data,0x12F84212,1   ,00                              ,00:02:22:920,
  123     ,Receive ,                    ,Ext / Data,0x12F85C50,1   ,00                              ,00:02:22:921,
  124     ,Receive ,                    ,Ext / Data,0x12F84312,1   ,00                              ,00:02:22:921,
  125     ,Receive ,                    ,Ext / Data,0x16F86D50,8   ,0B  51  72  14  FF  E0  00  00  ,00:02:22:922,
  126     ,Receive ,                    ,Ext / Data,0x12F84712,1   ,00                              ,00:02:22:923,
  127     ,Receive ,                    ,Ext / Data,0x16F86250,8   ,0F  FF  FF  FF  FF  FF  FF  00  ,00:02:22:924,
  128     ,Receive ,                    ,Ext / Data,0xAF87010,2   ,00  00                          ,00:02:22:925,
  129     ,Receive ,                    ,Ext / Data,0xEF81510,1   ,02                              ,00:02:22:926,
  130     ,Receive ,                    ,Ext / Data,0xEF82010,1   ,00                              ,00:02:22:926,
  131     ,Receive ,                    ,Ext / Data,0xAF81111,2   ,08  00                          ,00:02:22:927,
  132     ,Receive ,                    ,Ext / Data,0x12F84812,1   ,00                              ,00:02:22:929,
  133     ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:02:22:930,
  134     ,Receive ,                    ,Ext / Data,0x12F81D10,5   ,00  00  00  00  01              ,00:02:22:934,
