 Index,     Direction,      Status/Code/Error Count,    Format/Type,   ID,    DLC,            Data,                 Time Mark
  0       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:04:795,
  1       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:04:797,
  2       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:04:799,
  3       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:04:801,
  4       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:04:803,
  5       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:04:805,
  6       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:04:807,
  7       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:04:809,
  8       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:04:811,
  9       ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:04:813,
  10      ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:04:815,
  11      ,Receive ,                    ,Ext / Data,0x1E12FF10,0   ,                                ,00:02:04:817,
  12      ,Receive ,                    ,Ext / Data,0x1610FF57,0   ,                                ,00:02:04:825,
  13      ,Receive ,                    ,Ext / Data,0x1610FF34,0   ,                                ,00:02:04:826,
  14      ,Receive ,                    ,Ext / Data,0x1610FF11,0   ,                                ,00:02:04:827,
  15      ,Receive ,                    ,Ext / Data,0xAF81111,2   ,00  00                          ,00:02:04:827,
  16      ,Receive ,                    ,Ext / Data,0x1610FF12,0   ,                                ,00:02:04:828,
  17      ,Receive ,                    ,Ext / Data,0x12F87811,1   ,00                              ,00:02:04:829,
  18      ,Receive ,                    ,Ext / Data,0x1610FF10,0   ,                                ,00:02:04:829,
  19      ,Receive ,                    ,Ext / Data,0x12F81C12,1   ,00                              ,00:02:04:830,
  20      ,Receive ,                    ,Ext / Data,0x12F81010,4   ,20  00  80  00                  ,00:02:04:831,
  21      ,Receive ,                    ,Ext / Data,0x1610FF33,0   ,                                ,00:02:04:831,
  22      ,Receive ,                    ,Ext / Data,0xAF87010,2   ,00  00                          ,00:02:04:832,
  23      ,Receive ,                    ,Ext / Data,0x12F84112,1   ,00                              ,00:02:04:832,
  24      ,Receive ,                    ,Ext / Data,0xAF87110,3   ,00  00  00                      ,00:02:04:833,
  25      ,Receive ,                    ,Ext / Data,0x12F84212,1   ,00                              ,00:02:04:834,
  26      ,Receive ,                    ,Ext / Data,0xEF81510,1   ,02                              ,00:02:04:835,
  27      ,Receive ,                    ,Ext / Data,0x1610FF31,0   ,                                ,00:02:04:835,
  28      ,Receive ,                    ,Ext / Data,0xEF82010,1   ,00                              ,00:02:04:836,
  29      ,Receive ,                    ,Ext / Data,0x12F84312,1   ,00                              ,00:02:04:836,
  30      ,Receive ,                    ,Ext / Data,0xEF87310,4   ,00  AA  00  00                  ,00:02:04:837,
  31      ,Receive ,                    ,Ext / Data,0x12F84712,1   ,00                              ,00:02:04:838,
  32      ,Receive ,                    ,Ext / Data,0x12F81D10,5   ,00  00  00  00  01              ,00:02:04:839,
  33      ,Receive ,                    ,Ext / Data,0x12F84812,1   ,00                              ,00:02:04:839,
  34      ,Receive ,                    ,Ext / Data,0x12F81E10,5   ,00  00  00  00  01              ,00:02:04:840,
  35      ,Receive ,                    ,Ext / Data,0x1610FF50,0   ,                                ,00:02:04:841,
  36      ,Receive ,                    ,Ext / Data,0x12F83010,1   ,00                              ,00:02:04:841,
  37      ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:02:04:842,
  38      ,Receive ,                    ,Ext / Data,0x12F84010,1   ,00                              ,00:02:04:843,
  39      ,Receive ,                    ,Ext / Data,0x12F85150,5   ,00  00  02  00  40              ,00:02:04:844,
  40      ,Receive ,                    ,Ext / Data,0x1610FF96,0   ,                                ,00:02:04:845,
  41      ,Receive ,                    ,Ext / Data,0x12F85450,2   ,16  56                          ,00:02:04:845,
  42      ,Receive ,                    ,Ext / Data,0x12F85C50,1   ,00                              ,00:02:04:846,
  43      ,Receive ,                    ,Ext / Data,0x16F83B31,1   ,00                              ,00:02:04:846,
  44      ,Receive ,                    ,Ext / Data,0x16F86250,8   ,0F  FF  FF  FF  FF  FF  FF  00  ,00:02:04:848,
  45      ,Receive ,                    ,Ext / Data,0x16F97550,8   ,FF  E0  00  00  00  00  00  00  ,00:02:04:849,
  46      ,Receive ,                    ,Ext / Data,0x16F86C50,8   ,02  6E  78  3C  20  C7  D9  00  ,00:02:04:850,
  47      ,Receive ,                    ,Ext / Data,0x16F86D50,8   ,0B  51  74  14  FF  E0  00  00  ,00:02:04:851,
  48      ,Receive ,                    ,Ext / Data,0xEF83F31,2   ,80  00                          ,00:02:04:852,
  49      ,Receive ,                    ,Ext / Data,0x12F85250,4   ,FE  00  B7  02                  ,00:02:04:853,
  50      ,Receive ,                    ,Ext / Data,0xEF81496,1   ,00                              ,00:02:04:911,
  51      ,Receive ,                    ,Ext / Data,0xEF83633,2   ,00  00                          ,00:02:04:928,
  52      ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:02:04:930,
  53      ,Receive ,                    ,Ext / Data,0x16F83D33,1   ,00                              ,00:02:04:951,
  54      ,Receive ,                    ,Ext / Data,0x12F83496,1   ,20                              ,00:02:05:008,
  55      ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:02:05:029,
  56      ,Receive ,                    ,Ext / Data,0xAF87010,2   ,00  00                          ,00:02:05:122,
  57      ,Receive ,                    ,Ext / Data,0x12F81010,4   ,20  00  80  00                  ,00:02:05:123,
  58      ,Receive ,                    ,Ext / Data,0xAF81111,2   ,00  00                          ,00:02:05:125,
  59      ,Receive ,                    ,Ext / Data,0x12F87811,1   ,00                              ,00:02:05:126,
  60      ,Receive ,                    ,Ext / Data,0x12F81C12,1   ,00                              ,00:02:05:126,
  61      ,Receive ,                    ,Ext / Data,0x12F84112,1   ,00                              ,00:02:05:127,
  62      ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:02:05:129,
  63      ,Receive ,                    ,Ext / Data,0x12F84212,1   ,00                              ,00:02:05:129,
  64      ,Receive ,                    ,Ext / Data,0x12F85450,2   ,16  56                          ,00:02:05:130,
  65      ,Receive ,                    ,Ext / Data,0x12F84312,1   ,00                              ,00:02:05:130,
  66      ,Receive ,                    ,Ext / Data,0x12F85C50,1   ,00                              ,00:02:05:131,
  67      ,Receive ,                    ,Ext / Data,0x12F84712,1   ,00                              ,00:02:05:132,
  68      ,Receive ,                    ,Ext / Data,0x16F86250,8   ,0F  FF  FF  FF  FF  FF  FF  00  ,00:02:05:133,
  69      ,Receive ,                    ,Ext / Data,0xAF87110,3   ,00  00  00                      ,00:02:05:134,
  70      ,Receive ,                    ,Ext / Data,0x12F85150,5   ,00  00  02  00  40              ,00:02:05:135,
  71      ,Receive ,                    ,Ext / Data,0xEF81510,1   ,02                              ,00:02:05:135,
  72      ,Receive ,                    ,Ext / Data,0xEF82010,1   ,00                              ,00:02:05:136,
  73      ,Receive ,                    ,Ext / Data,0x12F84812,1   ,00                              ,00:02:05:136,
  74      ,Receive ,                    ,Ext / Data,0xEF87310,4   ,00  AA  00  00                  ,00:02:05:137,
  75      ,Receive ,                    ,Ext / Data,0x12F81D10,5   ,00  00  00  00  01              ,00:02:05:138,
  76      ,Receive ,                    ,Ext / Data,0x16F97550,8   ,FF  E0  00  00  00  00  00  00  ,00:02:05:139,
  77      ,Receive ,                    ,Ext / Data,0x12F81E10,5   ,00  00  00  00  01              ,00:02:05:140,
  78      ,Receive ,                    ,Ext / Data,0x12F83010,1   ,00                              ,00:02:05:141,
  79      ,Receive ,                    ,Ext / Data,0x12F84010,1   ,00                              ,00:02:05:142,
  80      ,Receive ,                    ,Ext / Data,0x16F86C50,8   ,02  6E  78  3C  20  C7  D9  00  ,00:02:05:148,
  81      ,Receive ,                    ,Ext / Data,0x16F83B31,1   ,00                              ,00:02:05:149,
  82      ,Receive ,                    ,Ext / Data,0x16F86D50,8   ,0B  51  74  14  FF  E0  00  00  ,00:02:05:150,
  83      ,Receive ,                    ,Ext / Data,0xEF83F31,2   ,80  00                          ,00:02:05:153,
  84      ,Receive ,                    ,Ext / Data,0x1610FF11,0   ,                                ,00:02:05:174,
  85      ,Receive ,                    ,Ext / Data,0x1610FF55,0   ,                                ,00:02:05:175,
  86      ,Receive ,                    ,Ext / Data,0x1610FF96,0   ,                                ,00:02:05:204,
  87      ,Receive ,                    ,Ext / Data,0xEF81496,1   ,00                              ,00:02:05:210,
  88      ,Receive ,                    ,Ext / Data,0xEF83633,2   ,00  00                          ,00:02:05:227,
  89      ,Receive ,                    ,Ext / Data,0x1610FF31,0   ,                                ,00:02:05:227,
