Index,Direction,Status/Code/ErrorCount,Format/Type,ID,DLC,Data,TimeMark
2143,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:00:052,
2144,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:00:052,
2145,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:00:053,
2146,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:00:055,
2147,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:056,
2148,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:00:061,
2149,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:00:062,
2150,Receive,,Ext / Data,0x16F86250,8,0F  FF  FF  FF  FF  FF  FF  00  ,00:00:00:064,
2151,Receive,,Ext / Data,0x12F85C50,1,00  ,00:00:00:074,
2152,Receive,,Ext / Data,0x12F84712,1,00  ,00:00:00:081,
2153,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:00:090,
2154,Receive,,Ext / Data,0x12F83010,1,00  ,00:00:00:091,
2155,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:00:102,
2156,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:00:123,
2157,Receive,,Ext / Data,0xAF81111,2,00  00  ,00:00:00:129,
2158,Receive,,Ext / Data,0xAF87110,3,00  00  00  ,00:00:00:151,
2159,Receive,,Ext / Data,0xEF87310,4,18  01  00  00  ,00:00:00:151,
2160,Receive,,Ext / Data,0x12F81010,4,20  00  80  00  ,00:00:00:152,
2161,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:153,
2162,Receive,,Ext / Data,0x12F85150,5,00  00  02  00  40  ,00:00:00:163,
2163,Receive,,Ext / Data,0x16F86C50,8,02  F0  B4  7D  3E  C7  D9  00  ,00:00:00:164,
2164,Receive,,Ext / Data,0x16F86D50,8,0B  01  5E  14  FF  E0  00  00  ,00:00:00:165,
2165,Receive,,Ext / Data,0x12F85450,2,16  16  ,00:00:00:173,
2166,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:00:226,
2167,Receive,,Ext / Data,0x12F87811,1,00  ,00:00:00:228,
2168,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:00:230,
2169,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:00:230,
2170,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:00:231,
2171,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:00:240,
2172,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:00:241,
2173,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:00:241,
2174,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:252,
2175,Receive,,Ext / Data,0x12F85250,4,FE  00  C1  7D  ,00:00:00:253,
2176,Receive,,Ext / Data,0x12F84112,1,80  ,00:00:00:289,
2177,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:00:307,
2178,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:00:349,
2179,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:00:350,
2180,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:00:351,
2181,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:00:352,
2182,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:353,
2183,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:00:358,
2184,Receive,,Ext / Data,0x16F86250,8,0F  FF  FF  FF  FF  FF  FF  00  ,00:00:00:361,
2185,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:00:364,
2186,Receive,,Ext / Data,0x1610FF55,0,,00:00:00:366,
2187,Receive,,Ext / Data,0x12F85C50,1,00  ,00:00:00:371,
2188,Receive,,Ext / Data,0x12F84712,1,00  ,00:00:00:378,
2189,Receive,,Ext / Data,0x12F83010,1,00  ,00:00:00:388,
2190,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:00:390,
2191,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:00:404,
2192,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:00:422,
2193,Receive,,Ext / Data,0xAF81111,2,00  00  ,00:00:00:426,
2194,Receive,,Ext / Data,0x12F95555,2,4B  58  ,00:00:00:433,
2195,Receive,,Ext / Data,0xAF87110,3,00  00  00  ,00:00:00:448,
2196,Receive,,Ext / Data,0xEF87310,4,18  01  00  00  ,00:00:00:448,
2197,Receive,,Ext / Data,0x12F81010,4,20  00  80  00  ,00:00:00:449,
2198,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:450,
2199,Receive,,Ext / Data,0x1610FF33,0,,00:00:00:456,
2200,Receive,,Ext / Data,0x12F85150,5,00  00  02  00  40  ,00:00:00:460,
2201,Receive,,Ext / Data,0x16F86C50,8,02  F0  B4  7D  3E  C7  D9  00  ,00:00:00:461,
2202,Receive,,Ext / Data,0x16F86D50,8,0B  01  5E  14  FF  E0  00  00  ,00:00:00:462,
2203,Receive,,Ext / Data,0x12F85450,2,16  16  ,00:00:00:470,
2204,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:00:522,
2205,Receive,,Ext / Data,0x12F87811,1,00  ,00:00:00:525,
2206,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:00:527,
2207,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:00:527,
2208,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:00:528,
2209,Receive,,Ext / Data,0x1610FF33,0,,00:00:00:530,
2210,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:00:537,
2211,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:00:538,
2212,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:00:538,
2213,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:549,
2214,Receive,,Ext / Data,0x12F84112,1,80  ,00:00:00:586,
2215,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:00:604,
2216,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:00:646,
2217,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:00:647,
2218,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:00:648,
2219,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:00:649,
2220,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:650,
2221,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:00:655,
2222,Receive,,Ext / Data,0x16F86250,8,0F  FF  FF  FF  FF  FF  FF  00  ,00:00:00:658,
2223,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:00:666,
2224,Receive,,Ext / Data,0x12F85C50,1,00  ,00:00:00:668,
2225,Receive,,Ext / Data,0x12F84712,1,00  ,00:00:00:675,
2226,Receive,,Ext / Data,0x12F83010,1,00  ,00:00:00:685,
2227,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:00:690,
2228,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:00:706,
2229,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:00:722,
2230,Receive,,Ext / Data,0xAF81111,2,00  00  ,00:00:00:723,
2231,Receive,,Ext / Data,0x16F83E34,1,00  ,00:00:00:738,
2232,Receive,,Ext / Data,0xAF87110,3,00  00  00  ,00:00:00:744,
2233,Receive,,Ext / Data,0xEF87310,4,18  01  00  00  ,00:00:00:745,
2234,Receive,,Ext / Data,0x12F81010,4,20  00  80  00  ,00:00:00:746,
2235,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:747,
2236,Receive,,Ext / Data,0x12F85150,5,00  00  02  00  40  ,00:00:00:757,
2237,Receive,,Ext / Data,0x16F86C50,8,02  F0  B4  7D  3E  C7  D9  00  ,00:00:00:758,
2238,Receive,,Ext / Data,0x16F86D50,8,0B  01  5E  14  FF  E0  00  00  ,00:00:00:759,
2239,Receive,,Ext / Data,0x12F85450,2,16  16  ,00:00:00:767,
2240,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:00:818,
2241,Receive,,Ext / Data,0x12F87811,1,00  ,00:00:00:822,
2242,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:00:824,
2243,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:00:824,
2244,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:00:825,
2245,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:00:834,
2246,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:00:835,
2247,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:00:835,
2248,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:846,
2249,Receive,,Ext / Data,0x12F84112,1,80  ,00:00:00:883,
2250,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:00:901,
2251,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:00:943,
2252,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:00:944,
2253,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:00:945,
2254,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:00:946,
2255,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:947,
2256,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:00:953,
2257,Receive,,Ext / Data,0x16F86250,8,0F  FF  FF  FF  FF  FF  FF  00  ,00:00:00:955,
2258,Receive,,Ext / Data,0x12F85C50,1,00  ,00:00:00:965,
2259,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:00:968,
2260,Receive,,Ext / Data,0x12F84712,1,00  ,00:00:00:972,
2261,Receive,,Ext / Data,0x12F83010,1,00  ,00:00:00:982,
2262,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:00:989,
2263,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:01:008,
2264,Receive,,Ext / Data,0xAF81111,2,00  00  ,00:00:01:020,
2265,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:01:022,
2266,Receive,,Ext / Data,0xAF87110,3,00  00  00  ,00:00:01:041,
2267,Receive,,Ext / Data,0xEF87310,4,18  01  00  00  ,00:00:01:042,
2268,Receive,,Ext / Data,0x12F81010,4,20  00  80  00  ,00:00:01:043,
2269,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:01:044,
2270,Receive,,Ext / Data,0x12F85150,5,00  00  02  00  40  ,00:00:01:054,
2271,Receive,,Ext / Data,0x16F86C50,8,02  F0  B4  7D  3E  C7  D9  00  ,00:00:01:055,
2272,Receive,,Ext / Data,0x16F86D50,8,0B  01  5E  14  FF  E0  00  00  ,00:00:01:056,
2273,Receive,,Ext / Data,0x12F85450,2,16  16  ,00:00:01:064,
2274,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:01:117,
2275,Receive,,Ext / Data,0x12F87811,1,00  ,00:00:01:119,
2276,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:01:121,
2277,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:01:121,
2278,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:01:122,
2279,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:01:131,
2280,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:01:132,
2281,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:01:132,
2282,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:01:143,
2283,Receive,,Ext / Data,0x12F84112,1,80  ,00:00:01:180,
2284,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:01:198,
2285,Receive,,Ext / Data,0x1610FF12,0,,00:00:01:210,
2286,Receive,,Ext / Data,0x12F84712,1,20  ,00:00:01:211,
2287,Receive,,Ext / Data,0x1610FF10,0,,00:00:01:212,
2288,Receive,,Ext / Data,0x12F83010,1,20  ,00:00:01:219,
2289,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:01:240,
2290,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:01:241,
2291,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:01:242,
2292,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:01:243,
2293,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:01:244,
2294,Receive,,Ext / Data,0x12F85250,4,FE  00  C1  7D  ,00:00:01:245,
2295,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:01:250,
2296,Receive,,Ext / Data,0x16F86250,8,0F  FF  FF  FF  FF  FF  FF  00  ,00:00:01:252,
2297,Receive,,Ext / Data,0x12F85C50,1,00  ,00:00:01:262,
2298,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:01:270,
2299,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:01:289,
2300,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:01:310,
2301,Receive,,Ext / Data,0xAF81111,2,00  00  ,00:00:01:317,
2302,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:01:322,
2303,Receive,,Ext / Data,0xAF87110,3,00  00  00  ,00:00:01:338,
2304,Receive,,Ext / Data,0xEF87310,4,18  01  00  00  ,00:00:01:339,
2305,Receive,,Ext / Data,0x12F81010,4,20  00  80  00  ,00:00:01:340,
