Index,Direction,Status/Code/ErrorCount,Format/Type,ID,DLC,Data,TimeMark
974,Receive,,Ext / Data,0x12F84712,1,00  ,00:00:00:060,
975,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:062,
976,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:00:071,
977,Receive,,Ext / Data,0xAF87110,3,00  00  00  ,00:00:00:072,
978,Receive,,Ext / Data,0x12F85150,5,00  00  02  00  40  ,00:00:00:073,
979,Receive,,Ext / Data,0xEF87310,4,18  01  00  00  ,00:00:00:073,
980,Receive,,Ext / Data,0x16F86D50,8,0B  01  5E  14  FF  E0  00  00  ,00:00:00:074,
981,Receive,,Ext / Data,0x12F81010,4,20  00  80  00  ,00:00:00:075,
982,Receive,,Ext / Data,0x16F86C50,8,02  F0  B4  7D  3E  C7  D9  00  ,00:00:00:076,
983,Receive,,Ext / Data,0x12F83010,1,00  ,00:00:00:077,
984,Receive,,Ext / Data,0x12F85450,2,16  16  ,00:00:00:082,
985,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:00:110,
986,Receive,,Ext / Data,0x12F87811,1,00  ,00:00:00:147,
987,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:00:151,
988,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:00:151,
989,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:00:152,
990,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:00:154,
991,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:00:161,
992,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:00:161,
993,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:00:162,
994,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:163,
995,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:00:164,
996,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:00:194,
997,Receive,,Ext / Data,0x12F84112,1,80  ,00:00:00:199,
998,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:00:235,
999,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:00:258,
1000,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:00:259,
1001,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:00:260,
1002,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:00:261,
1003,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:262,
1004,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:00:268,
1005,Receive,,Ext / Data,0x16F86250,8,0F  FF  FF  FF  FF  FF  FF  00  ,00:00:00:270,
1006,Receive,,Ext / Data,0x1610FF55,0,,00:00:00:278,
1007,Receive,,Ext / Data,0x12F85C50,1,00  ,00:00:00:280,
1008,Receive,,Ext / Data,0xAF81111,2,00  00  ,00:00:00:345,
1009,Receive,,Ext / Data,0x12F84712,1,00  ,00:00:00:357,
1010,Receive,,Ext / Data,0x12F85050,5,00  00  00  00  00  ,00:00:00:359,
