Index,Direction,Status/Code/ErrorCount,Format/Type,ID,DLC,Data,TimeMark
0,Receive,,Ext / Data,0x12F87811,1,00  ,00:00:00:027,
1,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:00:028,
2,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:00:036,
3,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:00:037,
4,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:00:038,
5,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:00:039,
6,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:00:045,
7,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:00:047,
8,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:00:047,
9,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:00:048,
10,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:00:060,
11,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:00:065,
12,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:00:066,
13,Receive,,Ext / Data,0x12F84112,1,00  ,00:00:00:067,
14,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:00:068,
15,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:00:069,
16,Receive,,Ext / Data,0x12F84712,1,00  ,00:00:00:070,
17,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:00:075,
18,Receive,,Ext / Data,0x16F86250,8,02  48  36  36  43  42  30  00  ,00:00:00:076,
19,Receive,,Ext / Data,0xEF87310,4,D8  01  01  40  ,00:00:00:077,
20,Receive,,Ext / Data,0x12F85050,5,00  03  4A  00  00  ,00:00:00:086,
21,Receive,,Ext / Data,0x12F85C50,1,00  ,00:00:00:086,
22,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:00:096,
23,Receive,,Ext / Data,0x12F83010,1,00  ,00:00:00:106,
24,Receive,,Ext / Data,0x16F86D50,8,0B  01  5E  14  29  40  00  00  ,00:00:00:145,
25,Receive,,Ext / Data,0x1610FF33,0,,00:00:00:150,
26,Receive,,Ext / Data,0x1610FF11,0,,00:00:00:156,
27,Receive,,Ext / Data,0x16F83E34,1,00  ,00:00:00:159,
28,Receive,,Ext / Data,0x1610FF34,0,,00:00:00:169,
29,Receive,,Ext / Data,0xEF95251,8,02  B4  B4  30  20  C0  B6  FE  ,00:00:00:171,
30,Receive,,Ext / Data,0x1610FF10,0,,00:00:00:175,
31,Receive,,Ext / Data,0xAF87110,3,00  FE  00  ,00:00:00:176,
32,Receive,,Ext / Data,0x12F85050,5,00  03  48  00  00  ,00:00:00:185,
33,Receive,,Ext / Data,0xAF81111,2,08  00  ,00:00:00:195,
34,Receive,,Ext / Data,0x1610FF96,0,,00:00:00:199,
35,Receive,,Ext / Data,0x1610FF12,0,,00:00:00:204,
36,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:00:209,
37,Receive,,Ext / Data,0x12F85450,2,16  36  ,00:00:00:224,
38,Receive,,Ext / Data,0x12F85150,5,40  01  00  00  40  ,00:00:00:234,
39,Receive,,Ext / Data,0x16F86C50,8,06  F0  B4  7D  3E  C7  D9  00  ,00:00:00:244,
40,Receive,,Ext / Data,0x12F85351,8,00  21  00  00  00  00  6A  D0  ,00:00:00:252,
41,Receive,,Ext / Data,0x12F85050,5,00  03  4A  00  00  ,00:00:00:284,
42,Receive,,Ext / Data,0x12F81010,4,28  00  80  00  ,00:00:00:314,
43,Receive,,Ext / Data,0x12F87811,1,00  ,00:00:00:324,
44,Receive,,Ext / Data,0xEF81496,1,00  ,00:00:00:327,
45,Receive,,Ext / Data,0xAF87010,2,00  00  ,00:00:00:333,
46,Receive,,Ext / Data,0xEF81510,1,02  ,00:00:00:334,
47,Receive,,Ext / Data,0xEF82010,1,00  ,00:00:00:335,
48,Receive,,Ext / Data,0x16F83D33,1,00  ,00:00:00:336,
49,Receive,,Ext / Data,0x12F81D10,5,00  00  00  00  01  ,00:00:00:343,
50,Receive,,Ext / Data,0x12F81E10,5,00  00  00  00  01  ,00:00:00:344,
51,Receive,,Ext / Data,0x12F84010,1,00  ,00:00:00:345,
52,Receive,,Ext / Data,0x16F83B31,1,00  ,00:00:00:347,
53,Receive,,Ext / Data,0x12F83496,1,20  ,00:00:00:359,
54,Receive,,Ext / Data,0x12F81C12,1,00  ,00:00:00:362,
55,Receive,,Ext / Data,0x16F97550,8,FF  E0  00  00  00  00  00  00  ,00:00:00:363,
56,Receive,,Ext / Data,0x12F84112,1,00  ,00:00:00:364,
57,Receive,,Ext / Data,0x12F84212,1,00  ,00:00:00:365,
58,Receive,,Ext / Data,0x12F84312,1,00  ,00:00:00:366,
59,Receive,,Ext / Data,0x12F84712,1,00  ,00:00:00:367,
60,Receive,,Ext / Data,0x12F84812,1,00  ,00:00:00:372,
61,Receive,,Ext / Data,0x16F86250,8,03  30  31  37  35  39  00  00  ,00:00:00:373,
62,Receive,,Ext / Data,0xEF87310,4,D8  01  01  40  ,00:00:00:374,
63,Receive,,Ext / Data,0x12F85050,5,00  03  42  00  00  ,00:00:00:383,
64,Receive,,Ext / Data,0x12F85C50,1,00  ,00:00:00:383,
65,Receive,,Ext / Data,0xEF83633,2,00  00  ,00:00:00:395,
66,Receive,,Ext / Data,0x12F83010,1,00  ,00:00:00:403,
67,Receive,,Ext / Data,0x12F95555,2,4C  58  ,00:00:00:413,
68,Receive,,Ext / Data,0x12F8B0A2,1,00  ,00:00:00:413,
69,Receive,,Ext / Data,0x16F86D50,8,0B  01  5E  14  29  40  00  00  ,00:00:00:442,
70,Receive,,Ext / Data,0xEF95251,8,02  B4  B4  30  20  C0  B6  FE  ,00:00:00:470,
71,Receive,,Ext / Data,0xAF87110,3,00  FE  00  ,00:00:00:472,
72,Receive,,Ext / Data,0x12F85050,5,00  03  40  00  00  ,00:00:00:482,
73,Receive,,Ext / Data,0xAF81111,2,08  00  ,00:00:00:492,
74,Receive,,Ext / Data,0x12F85351,8,00  01  00  00  00  00  6A  D0  ,00:00:00:501,
75,Receive,,Ext / Data,0x1610FF55,0,,00:00:00:508,
76,Receive,,Ext / Data,0xEF83F31,2,80  00  ,00:00:00:511,
77,Receive,,Ext / Data,0x12F85450,2,16  36  ,00:00:00:521,
78,Receive,,Ext / Data,0x12F85150,5,40  01  00  00  40  ,00:00:00:531,
79,Receive,,Ext / Data,0x16F86C50,8,06  F0  B4  7D  3E  C7  D9  00  ,00:00:00:541,
80,Receive,,Ext / Data,0x12F85050,5,00  03  44  00  00  ,00:00:00:581,
81,Receive,,Ext / Data,0x12F81010,4,28  00  80  00  ,00:00:00:611,
